idx,company,address,city,tax1,tax2,tax3,website,lat,lng
211,Daqus Energy,"El Paso, TX",El Paso,Enabling Technologies/Components,Storage/Batteries,Materials,https://www.activate.org/daqus-energy,31.761878,-106.485022
212,GeoLabe,"Los Alamos, NM",Los Alamos,IoT/IIoT,Geology/Mining,Evaluation/Compliance,https://www.geolabe.com/home,35.880036,-106.303114
213,4C2B,"Boston, MA",Boston,Built Environment/Construction,Chemistry,Engineering,https://arpa-e.energy.gov/technologies/projects/4c2b-century-scale-carbon-sequestration-cross-laminated-timber-composite,42.360082,-71.05888
214,Actinia,"Evanston, IL",Evanston,Solar,Nuclear,Evaluation/Compliance,https://actiniadetectors.com/,42.045072,-87.687697
215,Mattiq,"Skokie, IL",Skokie,Materials,Manufacturing,Energy Systems/Management,https://mattiq.com/,42.032402,-87.741625
216,MFNS-Tec,"Glenview, IL",Glenview,Water/Wave/Hydro,Environmental Remediation,Enabling Technologies/Components,https://www.mfns-tech.com/,42.077806,-87.822337
217,Volexion,"Evanston, IL",Evanston,Storage/Batteries,Chemistry,,https://www.volexion-inc.com/,42.045072,-87.687697
218,Vaulta,"Brisbane, Australia",Brisbane,Storage/Batteries,Manufacturing,Circular Economy,https://www.vaulta.com.au/,-27.470453,153.026034
219,Khaira Energy,"Bandung, Indonesia",Bandung,Storage/Batteries,Solar,Built Environment/Construction,https://khairaenergy.com/,-6.917464,107.619123
220,Cypris Materials,"San Leandro, CA",San Leandro,Materials,Manufacturing,Chemistry,https://www.cyprismaterials.com/,37.725766,-122.156855
221,Adena Power,"Lewis Center, OH",Lewis Center,Storage/Batteries,Chemistry,Power Electronics,https://adenapower.com/,40.198388,-83.010099
222,Advano,"New Orleans, LA",New Orleans,REEs,Materials,Storage/Batteries,https://www.advano.io/,29.951066,-90.071532
223,Atargis Energy,"Pueblo, CO",Pueblo,Water/Wave/Hydro,,,https://atargis.com/,38.254447,-104.609141
224,Babylon Microfarms,"Richmond, VA",Richmond,IoT/IIoT,Ag/Food-tech,,https://babylonmicrofarms.com/,37.540725,-77.436048
225,Blocpower,"Brooklyn, NY",Brooklyn,Built Environment/Construction,Energy Efficiency,IoT/IIoT,https://www.blocpower.io/,40.678178,-73.944158
226,Boxpower,"Grass Valley, CA",Grass Valley,Power Electronics,Utility/Grid,Energy Efficiency,https://boxpower.io/,39.219061,-121.061061
227,Carnot Engines,"London, UK",London,Enabling Technologies/Components,Power Electronics,Transportation/MaaS,https://carnotengines.com/,51.507218,-0.127586
228,CleanInnoGen Energy Solutions,"Ottowa, Ontario",Ottowa,Hydrogen,Energy Efficiency,Thermal/Geothermal,https://www.cleaninnogen.com/,45.42153,-75.697193
229,Evoloh,"Palo Alto, California",Palo Alto,Hydrogen,Enabling Technologies/Components,Chemistry,https://evoloh.com/,37.441883,-122.14302
230,Greenspur Wind,"Cleveland, Ohio",Cleveland,Wind,REEs,Enabling Technologies/Components,https://www.greenspur.co.uk/,41.49932,-81.69436
231,Growflux,"Philadelphia, PA",Philadelphia,Enabling Technologies/Components,Lighting,Ag/Food-tech,https://growflux.com/,39.952584,-75.165222
232,Harvest Thermal,"San Francisco, CA",San Francisco,Enabling Technologies/Components,Thermal/Geothermal,Energy Efficiency,https://www.harvest-thermal.com/,37.77493,-122.419416
233,Hexas Biomass,"Olympia, WA",Olympia,Circular Economy,Materials,Ag/Food-tech,https://hexas.com/,47.037874,-122.900695
234,Heycharge,"Munich, Germany",Munich,IoT/IIoT,Storage/Batteries,Transportation/MaaS,https://heycharge.com/,48.135125,11.581981
235,Infraclear,"Washington, DC",Washington,Generation/Transmission,Finance,IoT/IIoT,https://infraclear.com/,38.907192,-77.036871
236,Ionomr Innovations,"Vancouver, Canada",Vancouver,Hydrogen,Materials,Enabling Technologies/Components,https://ionomr.com/,49.282729,-123.120738
237,LiBama Power,"Binghamton, New York",Binghamton,Storage/Batteries,Enabling Technologies/Components,,https://www.libamapower.com/,42.098687,-75.917974
238,Marel Power Solutions,"Detroit, Michigan",Detroit,Power Electronics,Enabling Technologies/Components,,https://marel-power.com/,42.331427,-83.045754
239,Mars Materials,"Oakland, CA",Oakland,Built Environment/Construction,Materials,Manufacturing,https://www.marsmaterials.tech/,37.804351,-122.271164
240,Mocean Energy,"Edinburgh, Scotland",Edinburgh,Water/Wave/Hydro,Generation/Transmission,,https://www.mocean.energy/,55.953252,-3.188267
241,Natrion,"Binghamton, New York",Binghamton,Storage/Batteries,Materials,Chemistry,https://www.natrion.co/,42.098687,-75.917974
242,Novamera,"Ontario, Canada",Ontario,Geology/Mining,IoT/IIoT,Enabling Technologies/Components,https://novamerainc.com/,51.253775,-85.323214
243,Polystyvert,"Anjou, Quebec",Anjou,Circular Economy,Materials,,https://polystyvert.com/fr/,45.612351,-73.555326
244,Rebound Technologies,"Denver, Colorado",Denver,Thermal/Geothermal,Energy Efficiency,,https://www.rebound-tech.com/,39.739236,-104.990251
245,Renew Risk,"London, UK",London,Wind,IoT/IIoT,Finance,http://renew-risk.com.s3-website-eu-west-1.amazonaws.com/#page-top,51.507218,-0.127586
246,UbiQD,"Los Alamos, NM",Los Alamos,Enabling Technologies/Components,Built Environment/Construction,Solar,https://ubiqd.com/,35.880036,-106.303114
