idx,company,website,tax1,tax2,tax3,city,notes,address,lat,lng
101,LORC,https://lorc.dk,Wind,Evaluation/Compliance,,Munkebo,Advanced wind turbine tests,"Kystvejen 100, Munkebo 5330",55.45914,10.53515
102,Hytech Personnel A/S,http://www.hytechpersonnel.dk/,Professional Services,,,Esbjerg,Wind Energy; Oil and Gas,"Måde Industrivej 19, Esbjerg 6705",55.46059,8.499275
103,Dan-Equip A/S,http://www.dan-equip.dk,Enabling Technologies/Components,Professional Services,,Esbjerg,Oil and Gas,"Taurusvej 18, Esbjerg 6700",55.46074,8.467162
104,TOTAL Danmark A/S,https://www.total.com/en,Generation/Transmission,Energy Systems/Management,,Esbjerg,Oil and Gas,"Britanniavej 10, Esbjerg 6700",55.46108,8.446538
105,"Advokatpartnerselskabet DAHL, Esbjerg",https://www.dahllaw.dk/en/,Law,Built Environment/Construction,,Esbjerg,Wind Energy; Oil and Gas,"Dokken 10, Esbjerg 6700",55.46241,8.445369
106,DIS (Dansk Ingeniørservice),http://www.d-i-s.dk,Engineering,IoT/IIoT,,Esbjerg,Wind Energy; Oil and Gas,"Kanalen 1, Esbjerg 6700",55.46257,8.448107
107,Emerson Automation Solutions,http://www.emerson.com/en-us/automation-solutions,Professional Services,Consulting,IoT/IIoT,Esbjerg,Wind Energy; Oil and Gas,"Kanalen 1, 1st floor, Esbjerg 6700",55.46257,8.448107
108,Head Energy Denmark A/S,http://www.headenergy.dk,Oil and Gas,Wind,Engineering,Esbjerg,Wind Energy; Oil and Gas,"Kanalen 1, Esbjerg 6700",55.46257,8.448107
109,Hjelm Consult,http://www.hjelmconsulting.dk/,Consulting,Professional Services,,Esbjerg,Wind Energy; Oil and Gas,"Kanalen 1, Esbjerg 6700",55.46257,8.448107
110,NorSea Wind,https://norseagroup.com/companies/norsea-wind,Wind,Professional Services,Engineering,Esbjerg,Wind Energy,"Kanalen 1, Esbjerg 6700",55.46257,8.448107
111,Partnerskabet for Bølgekraft,http://wavepartnership.dk,Wave/Water/Hydro,Generation/Transmission,Storage,Esbjerg,Other,"Kanalen 1, Esbjerg 6700",55.46257,8.448107
112,East Metal,http://www.eastmetal.dk,Manufacturing,,,Esbjerg,Wind Energy; Oil and gas,"Bavnehøjvej 6, Esbjerg 6700",55.46296,8.454402
113,Muehlhan A/S,https://www.muehlhan.dk/,Built Environment/Construction,Evaluation/Compliance,Wind,Esbjerg,Wind Energy; Oil and Gas,"Bavnehøjvej 6, Esbjerg 6700",55.46296,8.454402
114,Esvagt A/S,http://www.esvagt.com,Professional Services,Oil and Gas,Wind,Esbjerg,Wind Energy; Oil and gas,"Dokvej 4, Esbjerg 6700",55.463,8.441297
115,Niels Winther Maritime ApS,http://www.nielswinther.dk,Mobility as a Service,Consulting,Professional Services,Esbjerg,Wind Energy; Oil and Gas,"Nordre Dokkaj 1, Esbjerg 6700",55.46371,8.446208
116,J.A.K. Workwear A/S,http://www.jak.as,Enabling Technologies/Components,,,Esbjerg,Wind Energy; Oil and Gas,"Energivej 11, Esbjerg 6700",55.46373,8.497916
117,Simatek,https://simatek.com,Manufacturing,Enabling Technologies/Components,,Sorø,Pulse-jet fabric filters,"Energivej 3, Sorø 4180",55.46377,11.56328
118,IAT Base & Energy A/S,http://www.iat.dk,Mobility as a Service,Professional Services,Oil and Gas,Esbjerg,Oil and Gas,"Toldbodvej 1, Esbjerg 6700",55.4641,8.445878
119,Juel & Krøyer,http://juel-kroyer.dk,Oil and Gas,Professional Services,Evaluation/Compliance,Esbjerg,Oil and Gas,"Toldbodvej 1, Esbjerg 6700",55.4641,8.445878
120,Esbjerg Havn,http://www.portesbjerg.dk,Professional Services,Mobility as a Service,,Esbjerg,Wind Energy; Oil and gas,"Hulvejen 1, Esbjerg 6700",55.46413,8.447208
121,TESS Esbjerg ApS,http://www.TESS.eu,Enabling Technologies/Components,Evaluation/Compliance,,Esbjerg,Wind Energy; Oil and Gas,"Tværkaj 4, Esbjerg 6700",55.46528,8.435053
122,Schlumberger,https://www.slb.com/,Oil and Gas,Professional Services,Manufacturing,Esbjerg,,"Tværkaj 2, Esbjerg 6700",55.46545,8.436336
